Linha;equipamento
LM-05710;BODY MAKER 01
LM-05710;BODY MAKER 02
LM-05710;BODY MAKER 03
LM-05710;BODY MAKER 04
LM-05710;BODY MAKER 05
LM-05710;BODY MAKER 06
LM-05710;BODY MAKER 07
LM-05710;BODY MAKER 08
LM-05710;BODY MAKER 09
LM-05710;CAN DRYER 01
LM-05710;CAN WASHER 01
LM-05710;CHILLER 01
LM-05710;CHILLER 02
LM-05710;CINTADORA 01
LM-05710;CINTADORA 02
LM-05710;COIL CAR 01
LM-05710;CUPPER 01
LM-05710;DOWNENDER 01
LM-05710;ENVOLVEDORA 01
LM-05710;EST OLEO SOLUV 01
LM-05710;FORNO IBO 01
LM-05710;FORNO PIN OVEN 01
LM-05710;FORNO PIN OVEN 02
LM-05710;INK DOT 01
LM-05710;INSID SPRAY 01
LM-05710;INSID SPRAY 02
LM-05710;INSID SPRAY 03
LM-05710;INSID SPRAY 04
LM-05710;INSID SPRAY 05
LM-05710;INSID SPRAY 06
LM-05710;INSID SPRAY 07
LM-05710;INSID SPRAY 08
LM-05710;INSID SPRAY 09
LM-05710;INSID SPRAY 10
LM-05710;INSID SPRAY 11
LM-05710;INSP CUT EDGE 01
LM-05710;INSP DECO 01
LM-05710;INSP DECO 02
LM-05710;INSP INK DOT 01
LM-05710;INSP LIGHT TEST 01
LM-05710;INSP MIX LABEL 01
LM-05710;INSP PRESSCO 01
LM-05710;INSP UV DOT 01
LM-05710;LEITOR BM ID 01
LM-05710;NECKER 01
LM-05710;PALETIZADORA 01
LM-05710;PRINTER 01
LM-05710;PRINTER 02
LM-05710;RETRAB SORTER 01
LM-05710;TRANSF MATERIAL 01
LM-05710;TRANSP BM-WSR 01
LM-05710;TRANSP CP-BM 01
LM-05710;TRANSP FPO-ISM 01
LM-05710;TRANSP IBO-NK 01
LM-05710;TRANSP ISM-IBO 01
LM-05710;TRANSP NK-PL 01
LM-05710;TRANSP PL-EMB 01
LM-05710;TRANSP WSR-PNT 01
LM-05710;TRIMMER 01
LM-05710;TRIMMER 02
LM-05710;TRIMMER 03
LM-05710;TRIMMER 04
LM-05710;TRIMMER 05
LM-05710;TRIMMER 06
LM-05710;TRIMMER 07
LM-05710;TRIMMER 08
LM-05710;TRIMMER 09
LM-05710;UNCOILER 01
LM-05710;UNIST 01
LM-05710;UVBC 01
LM-05710;VACUUM TRANSFER 01
LM-05720;BODY MAKER 01
LM-05720;BODY MAKER 02
LM-05720;BODY MAKER 03
LM-05720;BODY MAKER 04
LM-05720;BODY MAKER 05
LM-05720;BODY MAKER 06
LM-05720;BODY MAKER 07
LM-05720;BODY MAKER 08
LM-05720;BODY MAKER 09
LM-05720;CAN DRYER 01
LM-05720;CAN WASHER 01
LM-05720;CHILLER 01
LM-05720;CHILLER 02
LM-05720;CINTADORA 01
LM-05720;CINTADORA 02
LM-05720;COIL CAR 01
LM-05720;CUPPER 01
LM-05720;DOWNENDER 01
LM-05720;ENVOLVEDORA 01
LM-05720;EST OLEO SOLUV 01
LM-05720;FORNO IBO 01
LM-05720;FORNO PIN OVEN 01
LM-05720;FORNO PIN OVEN 02
LM-05720;INK DOT 01
LM-05720;INSID SPRAY 01
LM-05720;INSID SPRAY 02
LM-05720;INSID SPRAY 03
LM-05720;INSID SPRAY 04
LM-05720;INSID SPRAY 05
LM-05720;INSID SPRAY 06
LM-05720;INSID SPRAY 07
LM-05720;INSID SPRAY 08
LM-05720;INSID SPRAY 09
LM-05720;INSID SPRAY 10
LM-05720;INSID SPRAY 11
LM-05720;INSP CUT EDGE 01
LM-05720;INSP DECO 01
LM-05720;INSP DECO 02
LM-05720;INSP INK DOT 01
LM-05720;INSP LIGHT TEST 1
LM-05720;INSP MIX LABEL 01
LM-05720;INSP UV DOT 01
LM-05720;LEITOR BM ID 01
LM-05720;MATERIAL STAND 01
LM-05720;NECKER 01
LM-05720;PALETIZADORA 01
LM-05720;PRINTER 01
LM-05720;PRINTER 02
LM-05720;TRANSP BM-WSR 01
LM-05720;TRANSP CP BM 01
LM-05720;TRANSP CP-BM 01
LM-05720;TRANSP FPO ISM 01
LM-05720;TRANSP IBO NK 01
LM-05720;TRANSP IBO-NK 01
LM-05720;TRANSP ISM IBO 01
LM-05720;TRANSP NK PL 01
LM-05720;TRANSP WSR PNT 01
LM-05720;TRIMMER 01
LM-05720;TRIMMER 02
LM-05720;TRIMMER 03
LM-05720;TRIMMER 04
LM-05720;TRIMMER 05
LM-05720;TRIMMER 06
LM-05720;TRIMMER 07
LM-05720;TRIMMER 08
LM-05720;TRIMMER 09
LM-05720;UNCOILER 01
LM-05720;UNIST 01
LM-05720;UVBC 01
LM-05720;VACUUM TRANSFER 01
LM-05810;AUT ROB BAG PL 01
LM-05810;AUT ROB BAG PL 02
LM-05810;BALANCER LN 02
LM-05810;BALANCER SP 01
LM-05810;COIL CAR 01
LM-05810;CONVERSION PRES 01
LM-05810;CONVERSION PRES 02
LM-05810;CURLER 01
LM-05810;CURLER 02
LM-05810;CURLER 03
LM-05810;CURLER 04
LM-05810;DOWNENDER 01
LM-05810;DRY OVEN 01
LM-05810;DRY OVEN 02
LM-05810;DRY OVEN 03
LM-05810;ENVOLVEDORA 01
LM-05810;INSP APLI SEL 01
LM-05810;INSP APLI SEL 02
LM-05810;INSP APLI SEL 03
